system:index,B11,B12,B5,B6,B7,EVI,GNDVI,MSAVI,NDRE,NDVI,NDVI_SG,NDWI,SAVI,date,id,latitude,longitude,.geo
20231004T053649_20231004T054609_T42QZM_00000000000000000000_0,0.2545,0.2059,0.142,0.2151,0.242,0.2807521538598884,0.4540129,0.2394729212692296,0.27216813,0.43509686,0.43588948,-0.4540129,0.26687551662584863,2023-10-04,1,23.81494921194685,72.72078447951002,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.72078447951002,23.81494921194685]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000001_0,0.3325,0.2546,0.1865,0.3059,0.3399,0.39246361422241116,0.51312864,0.34603644178100845,0.29154795,0.5138023,0.46615705,-0.51312864,0.3647281949403431,2023-10-04,2,23.814771068947337,72.71695593337661,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71695593337661,23.814771068947337]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000002_0,0.2216,0.1114,0.1142,0.3809,0.4525,0.7511361941108214,0.7128168,0.6702092383385376,0.6066139,0.8300961,0.8320074,-0.7128168,0.6285530274431071,2023-10-04,3,23.810904395741456,72.71272823281888,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71272823281888,23.810904395741456]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000003_0,0.3743,0.3237,0.2102,0.2971,0.3301,0.24973210444175997,0.42237058,0.23141945762073046,0.23702358,0.32658622,0.33322778,-0.42237058,0.24827382138395782,2023-10-04,4,23.81394299041448,72.71389317297589,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71389317297589,23.81394299041448]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000004_0,0.288,0.2132,0.1483,0.2831,0.3178,0.37488514593410593,0.54304636,0.33359367249666144,0.34264183,0.539126,0.52464026,-0.54304636,0.3561996237446443,2023-10-04,5,23.8164528729731,72.71827839281798,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71827839281798,23.8164528729731]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000005_0,0.2365,0.1386,0.1393,0.3082,0.358,0.604641697749522,0.6426575,0.5291204237519229,0.46556684,0.7470844,0.7300031,-0.6426575,0.5228315409223373,2023-10-04,6,23.816303349466093,72.71699962423295,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71699962423295,23.816303349466093]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000006_0,0.3274,0.2336,0.1753,0.3373,0.374,0.4700826027715953,0.5491117,0.4175982714109635,0.36783266,0.5850397,0.5438232,-0.5491117,0.42918455193632077,2023-10-04,7,23.8159948173079,72.71483397682769,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71483397682769,23.8159948173079]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000007_0,0.3208,0.2193,0.1706,0.349,0.3863,0.5315762653452428,0.59221727,0.47340541487336757,0.3943912,0.6538948,0.63021666,-0.59221727,0.47784617606093444,2023-10-04,8,23.814438900010757,72.71577001355423,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71577001355423,23.814438900010757]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000008_0,0.2492,0.1451,0.1264,0.3003,0.3437,0.548231563454179,0.6273818,0.4807331635739525,0.46474698,0.72647864,0.722792,-0.6273818,0.4847895988141541,2023-10-04,9,23.812743186750275,72.71876080118784,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71876080118784,23.812743186750275]}"
20231004T053649_20231004T054609_T42QZM_00000000000000000009_0,0.231,0.1272,0.1237,0.3523,0.4101,0.6868686524358338,0.7014331,0.6135994369086286,0.55107963,0.8033755,0.7740281,-0.7014331,0.5864476020558952,2023-10-04,10,23.811962723797375,72.71746407975041,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.71746407975041,23.811962723797375]}"
20231004T053649_20231004T054609_T42QZM_0000000000000000000a_0,0.3484,0.304,0.2081,0.2678,0.2983,0.2551739812095998,0.4258956,0.23124593108123637,0.1880609,0.35423616,0.34656158,-0.4258956,0.2516057856106283,2023-10-04,11,23.813647096327806,72.72241393489234,"{""geodesic"":false,""type"":""Point"",""coordinates"":[72.72241393489234,23.813647096327806]}"
